period,platform,subs_start_millions,subs_end_millions,net_adds_millions,revenue_millions,arpu,flag_O,flag_P,flag_B,riv_flag_O,riv_flag_P,riv_flag_B
2020Q1,Disney,30.0,33.804,3.804,669.942,7.0,0,0,1,0,0,0
2020Q1,Max,35.0,35.767,0.767,958.539,9.03,0,0,0,0,0,1
2020Q1,Netflix,150.0,152.299,2.299,4892.709,10.79,0,0,0,0,0,1
2020Q2,Disney,33.804,36.401,2.597,772.957,7.34,0,0,0,0,1,0
2020Q2,Max,35.767,37.283,1.516,971.93,8.87,0,0,0,0,1,0
2020Q2,Netflix,152.299,154.596,2.297,4262.772,9.26,0,1,0,0,0,0
2020Q3,Disney,36.401,39.282,2.881,709.528,6.25,0,1,0,1,0,0
2020Q3,Max,37.283,38.22,0.937,1022.688,9.03,0,0,0,1,1,0
2020Q3,Netflix,154.596,157.306,2.71,4935.849,10.55,1,0,0,0,1,0
2020Q4,Disney,39.282,42.307,3.025,835.879,6.83,0,0,1,1,1,0
2020Q4,Max,38.22,39.479,1.259,900.92,7.73,0,1,0,1,0,1
2020Q4,Netflix,157.306,159.889,2.583,5114.769,10.75,1,0,0,0,1,1
2021Q1,Disney,42.307,45.217,2.91,972.829,7.41,0,0,0,1,0,0
2021Q1,Max,39.479,40.912,1.433,1090.102,9.04,0,0,0,1,0,0
2021Q1,Netflix,159.889,163.421,3.532,5198.825,10.72,1,0,0,0,0,0
2021Q2,Disney,45.217,47.503,2.286,1027.801,7.39,0,0,0,1,1,0
2021Q2,Max,40.912,41.748,0.836,1082.433,8.73,0,0,0,1,1,0
2021Q2,Netflix,163.421,166.882,3.461,4756.363,9.6,1,1,0,0,0,0
2021Q3,Disney,47.503,50.598,3.095,1106.579,7.52,0,0,0,1,0,0
2021Q3,Max,41.748,43.918,2.17,1198.896,9.33,1,0,0,0,0,0
2021Q3,Netflix,166.882,168.263,1.381,5288.588,10.52,0,0,0,1,0,0
2021Q4,Disney,50.598,53.995,3.397,1240.996,7.91,1,0,0,1,0,0
2021Q4,Max,43.918,44.925,1.007,1219.37,9.15,0,0,0,2,0,0
2021Q4,Netflix,168.263,171.29,3.027,5510.945,10.82,1,0,0,1,0,0
2022Q1,Disney,53.995,58.053,4.058,1137.847,6.77,1,1,0,0,0,0
2022Q1,Max,44.925,46.306,1.381,1208.355,8.83,0,0,0,1,1,0
2022Q1,Netflix,171.29,172.786,1.496,5279.846,10.23,0,0,0,1,1,0
2022Q2,Disney,58.053,61.176,3.123,1253.693,7.01,0,0,1,1,0,0
2022Q2,Max,46.306,48.467,2.161,1316.397,9.26,1,0,0,0,0,1
2022Q2,Netflix,172.786,174.19,1.404,5542.942,10.65,0,0,0,1,0,1
2022Q3,Disney,61.176,64.36,3.184,1363.321,7.24,0,0,1,2,0,0
2022Q3,Max,48.467,50.19,1.723,1385.144,9.36,1,0,0,1,0,1
2022Q3,Netflix,174.19,176.689,2.499,5673.713,10.78,1,0,0,1,0,1
2022Q4,Disney,64.36,67.599,3.239,1351.92,6.83,0,0,1,0,1,0
2022Q4,Max,50.19,51.77,1.58,1188.344,7.77,0,1,0,0,0,1
2022Q4,Netflix,176.689,177.726,1.037,5502.293,10.35,0,0,0,0,1,1
2023Q1,Disney,67.599,70.507,2.908,1398.323,6.75,0,0,1,1,2,0
2023Q1,Max,51.77,52.938,1.168,1217.23,7.75,0,1,0,1,1,1
2023Q1,Netflix,177.726,181.005,3.279,5015.059,9.32,1,1,0,0,1,1
2023Q2,Disney,70.507,74.018,3.511,1643.249,7.58,1,0,0,0,1,0
2023Q2,Max,52.938,54.582,1.644,1261.21,7.82,0,1,0,1,0,0
2023Q2,Netflix,181.005,182.59,1.585,5715.713,10.48,0,0,0,1,1,0
2023Q3,Disney,74.018,77.441,3.423,1617.582,7.12,0,0,1,1,0,0
2023Q3,Max,54.582,56.211,1.629,1527.282,9.19,0,0,0,1,0,1
2023Q3,Netflix,182.59,185.434,2.844,5901.265,10.69,1,0,0,0,0,1
2023Q4,Disney,77.441,81.475,4.034,1558.966,6.54,1,1,0,0,0,0
2023Q4,Max,56.211,57.24,1.029,1526.483,8.97,0,0,0,1,1,0
2023Q4,Netflix,185.434,186.671,1.237,5760.185,10.32,0,0,0,1,1,0
2024Q1,Disney,81.475,84.438,2.963,1936.205,7.78,1,0,0,1,0,0
2024Q1,Max,57.24,57.874,0.634,1545.405,8.95,0,0,0,2,0,0
2024Q1,Netflix,186.671,189.189,2.518,6049.467,10.73,1,0,0,1,0,0
2024Q2,Disney,84.438,87.999,3.561,1487.269,5.75,0,1,1,1,0,0
2024Q2,Max,57.874,60.156,2.282,1596.946,9.02,1,0,0,0,1,1
2024Q2,Netflix,189.189,190.22,1.031,5884.634,10.34,0,0,0,1,1,1
2024Q3,Disney,87.999,92.675,4.676,1932.308,7.13,1,0,1,1,1,0
2024Q3,Max,60.156,60.514,0.358,1607.324,8.88,0,0,0,2,1,1
2024Q3,Netflix,190.22,192.946,2.726,5621.045,9.78,1,1,0,1,0,1
2024Q4,Disney,92.675,96.564,3.889,2080.683,7.33,1,0,1,1,1,0
2024Q4,Max,60.514,61.823,1.309,1424.003,7.76,0,1,0,2,0,1
2024Q4,Netflix,192.946,195.628,2.682,6149.184,10.55,1,0,0,1,1,1
